"Date-Time","Call-Incident Type","Incident No.","Address"
"10/30/2014 18:05:19","1194","2014-00064675","CENTER/SHATTUCK / "
"10/30/2014 18:14:34","1033A","2014-00064682","1100 BLOCK EUCLID AVE"
"10/30/2014 18:15:26","T","2014-00064678","SAN PABLO AVE/BANCROFT WAY"
"10/30/2014 18:18:16","594","2014-00064681","1700 BLOCK EIGHTH ST"
"10/30/2014 18:18:17","AID","2014-00064684","2100 BLOCK M L KING JR WAY"
"10/30/2014 18:29:07","1194","2014-00064683","2465 TELEGRAPH / "
"10/30/2014 18:45:38","242","2014-00064688","2300 BLOCK WEBSTER ST"
"10/30/2014 18:50:51","1033A","2014-00064689","1400 BLOCK HEARST AVE"
"10/30/2014 18:54:16","ANIMAL","2014-00064690","2200 BLOCK TENTH ST"
"10/30/2014 18:57:16","SUSPER","2014-00064691","WEBSTER ST/PINE AVE"
"10/30/2014 19:01:04","314","2014-00064710","2800 BLOCK ADELINE ST"
"10/30/2014 19:04:32","1033A","2014-00064694","1600 BLOCK RUSSELL ST"
"10/30/2014 19:10:22","1124","2014-00064692","1000 BLOCK SPRUCE ST"
"10/30/2014 19:10:51","1067","2014-00064693","2900 BLOCK FLORENCE ST"
"10/30/2014 19:13:35","20002","2014-00064723","1400 BLOCK SHATTUCK AVE"
"10/30/2014 19:20:22","SUSPER","2014-00064711","1300 BLOCK MIRAMONTE CT"
"10/30/2014 19:23:31","UNK","2014-00064700","1600 BLOCK WALNUT ST"
"10/30/2014 19:26:16","242","2014-00064696","2000 BLOCK UNIVERSITY AVE"
"10/30/2014 19:32:19","1042","2014-00064698","2600 BLOCK TELEGRAPH "
"10/30/2014 19:33:58","BMCVIO","2014-00064705"," / "
"10/30/2014 19:40:06","484","2014-00064715","2900 BLOCK SAN PABLO AVE"
"10/30/2014 19:50:15","BMCVIO","2014-00064741"," / "
"10/30/2014 19:52:46","1124","2014-00064707","1300 BLOCK CARLETON ST"
"10/30/2014 19:55:15","23152","2014-00064709","SAN PABLO AVE/ASHBY AVE"
"10/30/2014 20:04:07","1033A","2014-00064708","1500 BLOCK UNIVERSITY AVE"
"10/30/2014 20:09:46","415","2014-00064731","2900 BLOCK ADELINE ST"
"10/30/2014 20:21:38","1053","2014-00064712","SACRAMENTO ST/CARLETON ST"
"10/30/2014 20:25:30","415","2014-00064713","1400 BLOCK STANNAGE AVE"
"10/30/2014 20:35:09","5150","2014-00064714","2100 BLOCK DWIGHT WAY"
"10/30/2014 20:38:23","1057","2014-00064724","UNKOWN / "
"10/30/2014 20:44:58","242","2014-00064719","2500 BLOCK BANCROFT WAY"
"10/30/2014 20:50:21","5150","2014-00064718","3000 BLOCK REGENT ST"
"10/30/2014 20:59:00","537","2014-00064716","1900 BLOCK FOURTH ST"
"10/30/2014 21:14:18","1194","2014-00064717","66TH ST/SAN PABLO AVE / "
"10/30/2014 21:17:49","23103","2014-00064721","CAMELIA ST/SEVENTH ST"
"10/30/2014 21:22:16","T","2014-00064720","MARIN /THE CIRCLE "
"10/30/2014 21:24:19","415E","2014-00064733","2600 BLOCK SAN PABLO AVE"
"10/30/2014 21:26:03","415E","2014-00064722","DWIGHT WAY/HILLEGASS AVE"
"10/30/2014 21:46:58","1196","2014-00064725","CALIFORNIA ST/RUSSELL ST"
"10/30/2014 21:51:10","T","2014-00064726","ASHBY AVE/M L KING JR WAY"
"10/30/2014 21:56:04","T","2014-00064727","CHANNING WAY/M L KING JR WAY"
"10/30/2014 22:01:37","1196","2014-00064729","SACRAMENTO ST/ALCATRAZ AVE"
"10/30/2014 22:07:48","PRKVIO","2014-00064734","2200 BLOCK CURTIS ST"
"10/30/2014 22:08:11","1194","2014-00064730","3200 BLOCK ADELINE ST"
"10/30/2014 22:10:41","23152","2014-00064732","2300 BLOCK BANCROFT WAY"
"10/30/2014 22:22:44","FLAG","2014-00064735","DWIGHT WAY/SHATTUCK AVE"
"10/30/2014 22:25:36","415F","2014-00064736","1200 BLOCK CARRISON ST"
"10/30/2014 22:26:09","415E","2014-00064740","2100 BLOCK ALLSTON WAY"
"10/30/2014 22:31:57","1196","2014-00064737","SIXTY-THIRD ST/HERZOG ST"
"10/30/2014 22:35:53","FLAG","2014-00064738","1700 BLOCK UNIVERSITY AVE"
"10/30/2014 22:38:36","1196","2014-00064739","IDAHO ST/60TH ST / "
"10/30/2014 22:43:00","415","2014-00064747"," / "
"10/30/2014 22:48:29","T","2014-00064742","FOLGER AVE/SAN PALBO AVE / "
"10/30/2014 22:49:56","FLAG","2014-00064743","THE ALAMEDA /MARIN AVE"
"10/30/2014 22:56:33","A911","2014-00064744","1000 BLOCK GILMAN AVE"
"10/30/2014 23:01:12","1194","2014-00064745","SIXTH ST/HEARST AVE"
"10/30/2014 23:04:28","FLAG","2014-00064746","RSF / "
"10/30/2014 23:13:31","SEC","2014-00064748"," / "
"10/30/2014 23:16:48","1194","2014-00064749","UNIV/BONAR / "
"10/30/2014 23:20:08","1194","2014-00064750","UNIVERSITY AVE/SAN PABLO AVE"
"10/30/2014 23:20:29","1194B","2014-00064751","DELAWARE ST/TENTH ST"
"10/30/2014 23:22:24","T","2014-00064752","ADDISON ST/FOURTH ST"
"10/30/2014 23:41:15","415E","2014-00064753","SAN PABLO AVE/UNIVERSITY AVE"
"10/30/2014 23:50:28","415","2014-00064754","SHATTUCK AVE/CHANNING WAY"
"10/30/2014 23:54:11","REPO",,"2000 BLOCK VIRGINIA ST"
